,7m,8m,9m,10m,11m,12m,now,stock
,21.00,0.00,65.00,0.00,27.00,0.00,335.00,
,30.00,60.00,0.00,0.00,0.00,0.00,90.00,
,90.00,60.00,30.00,30.00,40.00,0.00,140.00,
,93.00,194.50,208.00,182.00,157.00,60.00,199.50,
,0.00,0.00,30.00,30.00,31.00,31.00,191.00,
,0.00,150.00,90.00,60.00,14.00,60.00,136.00,
,60.00,0.00,30.00,0.00,0.00,210.00,300.00,
,150.00,0.00,60.00,14.00,240.00,44.00,182.00,
,0.00,30.00,67.00,0.00,0.00,0.00,143.00,
,165.00,18.00,9.00,63.00,87.00,63.00,275.00,
,5.00,5.00,8.00,4.00,8.00,9.00,11.00,
,146.00,180.00,146.00,90.00,180.00,180.00,278.00,
,66.00,58.00,78.00,254.00,154.00,84.00,188.00,
,"1,112.00","1,296.00","1,386.00",971.00,"1,342.00","1,234.00",881.00,
,"1,216.00","1,621.00","1,515.00","1,384.00","1,216.00","1,041.00","1,215.00",
,28.00,90.00,28.00,28.00,60.00,21.00,440.00,
,0.00,0.00,0.00,90.00,0.00,0.00,0.00,
,120.00,120.00,135.00,129.00,120.00,120.00,75.00,
,38.00,51.00,32.00,11.00,30.00,48.00,92.00,
,0.00,0.00,7.00,12.00,14.00,44.00,103.00,
,0.00,0.00,0.00,0.00,30.00,60.00,90.00,
,0.00,0.00,0.00,0.00,0.00,1.00,1.00,
,78.00,96.00,300.00,81.00,18.00,78.00,205.00,
,383.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,10.00,0.00,80.00,
,0.00,0.00,30.00,90.00,0.00,30.00,60.00,
,0.00,0.00,0.00,0.00,0.00,0.00,170.00,
,0.00,0.00,0.00,0.00,10.00,60.00,120.00,
,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,0.00,120.00,
,0.00,0.00,6.00,0.00,0.00,0.00,94.00,
,413.00,298.00,680.50,396.00,484.00,210.00,260.00,
,0.00,0.00,0.00,0.00,0.00,4.00,4.00,
,0.00,0.00,0.00,0.00,0.00,0.00,210.00,
,0.00,0.00,3.00,0.00,0.00,0.00,4.00,
,0.00,0.00,15.00,21.00,0.00,0.00,59.00,
,12.00,0.00,0.00,24.00,0.00,0.00,0.00,
,0.00,0.00,0.00,90.00,0.00,0.00,90.00,
,0.00,30.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,60.00,0.00,0.00,
,42.00,28.00,84.00,146.00,140.00,58.00,160.00,
,910.00,796.00,820.00,944.00,766.00,"1,075.00",262.00,
,45.00,0.00,55.00,70.00,128.00,145.00,270.00,
,3.00,120.00,12.00,0.00,120.00,0.00,29.00,
,867.00,693.00,755.00,708.00,732.00,581.00,270.00,
,0.00,0.00,0.00,1.00,0.00,0.00,1.00,
,0.00,8.00,0.00,8.00,0.00,8.00,12.00,
,734.00,396.00,955.00,612.00,653.00,268.00,568.00,
,295.00,309.00,163.00,243.00,390.00,261.00,346.00,
,0.00,0.00,0.00,7.00,0.00,0.00,23.00,
,141.00,187.00,297.00,222.00,105.00,180.00,233.00,
,1.00,0.00,0.00,0.00,3.00,9.00,7.00,
,2.00,11.00,0.00,2.00,0.00,0.00,3.00,
,0.00,28.00,0.00,0.00,0.00,0.00,243.00,
,600.00,285.00,451.00,470.00,594.00,563.00,108.00,
,0.00,0.00,0.00,0.00,0.00,14.00,386.00,
,0.00,21.00,21.00,0.00,0.00,21.00,78.00,
,0.00,0.00,0.00,0.00,33.00,70.00,397.00,
,375.00,513.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,714.00,"1,091.00",983.00,"1,295.00",35.00,
,0.00,0.00,0.00,9.00,0.00,0.00,-9.00,
,90.00,0.00,0.00,0.00,0.00,60.00,120.00,
,0.00,0.00,0.00,0.00,0.00,0.00,39.00,
,0.00,0.00,0.00,30.00,30.00,0.00,80.00,
,54.00,30.00,21.00,10.00,0.00,0.00,377.00,
,498.00,576.00,372.00,390.00,236.00,208.00,299.00,
,0.00,42.00,0.00,0.00,0.00,0.00,0.00,
,376.00,350.00,502.00,400.00,271.00,400.00,505.00,
,21.00,30.00,30.00,30.00,60.00,0.00,104.00,
,14.00,42.00,74.00,42.00,0.00,0.00,60.00,
,42.00,174.00,48.00,18.00,39.00,48.00,76.00,
,0.00,0.00,1.00,0.00,0.00,0.00,197.00,
,3.50,0.00,7.00,0.00,0.00,15.50,177.50,
,60.00,21.00,1.00,0.00,0.00,0.00,114.00,
,194.00,93.00,339.00,150.00,210.00,0.00,364.00,
,"1,333.00","1,425.00","1,385.00","1,483.00",644.00,114.00,401.00,
,51.00,85.00,30.00,105.00,104.00,0.00,127.00,
,0.00,0.00,0.00,30.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,761.00,"1,384.00",110.00,
,0.00,0.00,0.00,0.00,77.00,202.00,197.00,
,172.00,297.00,215.00,303.00,367.00,300.00,203.00,
,30.00,90.00,0.00,90.00,30.00,30.00,180.00,
,5.00,13.00,12.00,12.00,14.00,6.00,10.00,
,0.00,0.00,1.00,1.00,1.00,1.00,4.00,
,60.00,60.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,28.00,62.00,
,0.00,58.00,0.00,12.00,0.00,60.00,110.00,
,2.00,4.00,3.00,10.00,2.00,6.00,3.00,
,0.00,0.00,0.00,0.00,0.00,0.00,958.00,
,0.00,11.00,10.00,10.00,10.00,30.00,2.00,
,621.00,872.00,"1,025.00",776.00,852.00,678.00,664.00,
,0.00,28.00,0.00,0.00,0.00,0.00,84.00,
,81.00,67.00,81.00,300.00,60.00,90.00,136.00,
,180.00,0.00,127.00,60.00,180.00,60.00,145.00,
,30.00,15.00,0.00,0.00,0.00,0.00,72.00,
,0.00,0.00,0.00,16.00,0.00,0.00,44.00,
,0.00,0.00,10.00,0.00,0.00,0.00,10.00,
,487.50,470.00,499.00,559.00,903.00,639.50,174.00,
,14.00,0.00,0.00,0.00,0.00,0.00,626.00,
,0.00,120.00,0.00,0.00,0.00,0.00,120.00,
,0.00,120.00,0.00,0.00,120.00,0.00,0.00,
,0.00,0.00,0.00,316.00,348.00,444.00,212.00,
,0.00,0.00,0.00,0.00,0.00,1.00,-1.00,
,0.00,0.00,0.00,0.00,0.00,0.00,75.00,
,0.00,60.00,0.00,240.00,0.00,600.00,160.00,
,0.00,0.00,0.00,0.00,0.00,0.00,106.00,
,20.00,0.00,52.00,46.00,40.00,8.00,344.00,
,28.00,28.00,0.00,60.00,30.00,0.00,46.00,
,6.00,26.00,35.00,36.00,27.00,18.00,56.00,
,60.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,60.00,0.00,-60.00,
,0.00,120.00,0.00,0.00,0.00,0.00,0.00,
,287.00,244.00,194.00,66.00,0.00,0.00,871.00,
,450.00,300.00,180.00,210.00,90.00,180.00,474.00,
,60.00,0.00,0.00,60.00,0.00,60.00,120.00,
,138.00,222.00,170.00,444.00,131.00,246.00,263.00,
,0.00,0.00,8.00,0.00,0.00,0.00,26.00,
,36.00,48.00,90.00,35.00,49.00,0.00,112.00,
,10.00,56.00,56.00,70.00,70.00,0.00,38.00,
,20.00,42.00,0.00,54.00,102.00,70.00,242.00,
,42.00,70.00,0.00,28.00,83.00,56.00,111.00,
,9.00,6.00,0.00,0.00,6.00,0.00,39.00,
,372.00,317.00,198.00,429.00,518.00,421.00,216.00,
,0.00,0.00,4.00,1.00,0.00,0.00,2.00,
,0.00,0.00,0.00,0.00,0.00,0.00,50.00,
,0.00,0.00,0.00,0.00,0.00,0.00,90.00,
,0.00,0.00,90.00,0.00,0.00,0.00,0.00,
,210.00,10.00,60.00,7.00,206.00,28.00,164.00,
,0.00,84.00,0.00,0.00,0.00,0.00,216.00,
,120.00,0.00,0.00,0.00,0.00,24.00,156.00,
,0.00,0.00,0.00,0.00,0.00,30.00,30.00,
,60.00,0.00,0.00,0.00,0.00,0.00,60.00,
,90.00,0.00,0.00,36.00,0.00,0.00,659.00,
,0.00,0.00,0.00,36.00,0.00,0.00,164.00,
,0.00,21.00,0.00,57.00,42.00,55.50,224.50,
,608.00,502.00,239.00,277.00,251.00,216.00,898.00,
,9.00,28.00,28.00,0.00,22.00,32.00,14.00,
,120.00,58.00,88.00,360.00,30.00,134.00,146.00,
,0.00,0.00,0.00,0.00,28.00,30.00,92.00,
,15.00,30.00,0.00,0.00,0.00,0.00,75.00,
,35.00,198.00,84.00,126.00,84.00,51.00,292.00,
,0.00,0.00,0.00,90.00,0.00,0.00,0.00,
,0.00,0.00,0.00,60.00,9.00,0.00,52.00,
,0.00,0.00,0.00,0.00,14.00,0.00,16.00,
,0.00,28.00,0.00,0.00,20.00,0.00,952.00,
,0.00,0.00,1.00,1.00,1.00,0.00,2.00,
,0.00,0.00,0.00,0.00,0.00,0.00,5.00,
,0.00,0.00,0.00,0.00,0.00,120.00,180.00,
,60.00,0.00,60.00,0.00,60.00,0.00,120.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,372.00,279.00,84.00,54.00,219.00,523.00,95.00,
,0.00,0.00,0.00,0.00,0.00,18.00,73.00,
,30.00,0.00,0.00,0.00,0.00,0.00,99.00,
,98.00,134.00,120.00,180.00,240.00,0.00,250.00,
,60.00,60.00,60.00,60.00,60.00,60.00,248.00,
,60.00,88.00,30.00,150.00,0.00,60.00,124.00,
,0.00,0.00,0.00,60.00,90.00,0.00,150.00,
,0.00,28.00,30.00,100.00,190.00,192.00,180.00,
,0.00,14.00,14.00,109.00,60.00,342.00,265.00,
,0.00,0.00,0.00,0.00,14.00,21.00,85.00,
,0.00,0.00,120.00,0.00,120.00,164.00,184.00,
,0.00,0.00,60.00,0.00,60.00,143.00,217.00,
,0.00,65.00,60.00,30.00,35.00,48.00,62.00,
,0.00,0.00,0.00,1.00,0.00,0.00,2.00,
,14.00,76.00,0.00,0.00,5.00,0.00,3.00,
,0.00,0.00,0.00,0.00,0.00,0.00,14.00,
,0.00,3.00,13.00,0.00,0.00,0.00,0.00,
,60.00,102.00,134.00,150.00,208.00,90.00,126.00,
,0.00,0.00,0.00,0.00,0.00,0.00,120.00,
,192.00,81.00,160.00,269.00,198.00,228.00,336.00,
,30.00,0.00,0.00,0.00,0.00,0.00,0.00,
,15.00,0.00,0.00,0.00,0.00,0.00,"1,065.00",
,30.00,0.00,0.00,0.00,0.00,0.00,78.00,
,0.00,102.00,236.00,77.00,120.00,180.00,125.00,
,0.00,0.00,110.00,7.00,0.00,0.00,219.00,
,0.00,14.00,0.00,0.00,60.00,30.00,120.00,
,28.00,120.00,359.00,398.00,240.00,60.00,120.00,
,0.00,0.00,30.00,0.00,0.00,0.00,52.00,
,0.00,0.00,0.00,0.00,14.00,28.00,14.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,180.00,0.00,0.00,0.00,120.00,200.00,
,0.00,4.00,2.00,4.00,2.00,3.00,4.00,
,0.00,0.00,0.00,0.00,21.00,0.00,39.00,
,0.00,0.00,0.00,0.00,0.00,0.00,379.00,
,390.00,56.00,360.00,360.00,240.00,240.00,244.00,
,123.00,221.00,174.00,123.00,195.00,213.00,305.00,
,4.00,2.00,1.00,1.00,2.00,4.00,3.00,
,0.00,7.00,58.00,0.00,7.00,0.00,68.00,
,0.00,28.00,12.00,14.00,30.00,0.00,33.00,
,0.00,0.00,0.00,0.00,0.00,6.00,6.00,
,6.00,0.00,0.00,0.00,0.00,0.00,6.00,
,48.00,35.00,12.00,15.00,18.00,6.00,70.00,
,0.00,44.00,35.00,60.00,30.00,60.00,101.00,
,0.00,0.00,0.00,14.00,60.00,37.00,129.00,
,2.00,0.00,8.00,60.00,0.00,67.00,103.00,
,60.00,60.00,40.00,44.00,65.00,144.00,157.00,
,68.00,188.00,30.00,165.00,60.00,90.00,217.00,
,0.00,30.00,0.00,120.00,0.00,60.00,90.00,
,0.00,0.00,60.00,0.00,0.00,0.00,140.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,14.00,243.00,275.00,222.00,146.00,
,67.00,30.00,30.00,30.00,0.00,60.00,133.00,
,0.00,0.00,0.00,0.00,0.00,29.00,61.00,
,0.00,0.00,0.00,0.00,0.00,0.00,60.00,
,0.00,0.00,0.00,30.00,0.00,0.00,0.00,
,0.00,0.00,150.00,0.00,0.00,0.00,360.00,
,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
,2.00,6.00,3.00,1.00,5.00,2.00,4.00,
,379.00,91.00,56.00,30.00,60.00,0.00,272.00,
,0.00,15.00,27.00,56.00,96.00,74.00,132.00,
,0.00,0.00,0.00,35.00,0.00,0.00,-35.00,
,0.00,0.00,"2,400.00",0.00,0.00,0.00,0.00,
,648.00,"1,122.00","1,451.00","1,422.00","1,134.00","1,383.00",334.00,
,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00",
,0.00,9.00,90.00,0.00,30.00,9.00,871.00,
,60.00,36.00,63.00,72.00,42.00,21.00,571.00,
,210.00,81.00,224.00,134.00,60.00,268.00,133.00,
,0.00,0.00,0.00,0.00,0.00,0.00,90.00,
,90.00,30.00,90.00,60.00,0.00,0.00,105.00,
,150.00,106.00,132.00,123.00,84.00,109.00,38.00,
,3.00,40.00,30.00,37.00,30.00,65.00,138.00,
,60.00,0.00,60.00,0.00,60.00,0.00,137.00,
,37.00,42.00,28.00,42.00,28.00,14.00,94.00,
,9.00,0.00,0.00,21.00,0.00,0.00,470.00,
,120.00,44.00,90.00,67.50,75.00,89.00,174.50,
,0.00,19.00,45.00,7.00,0.00,0.00,129.00,
,0.00,42.00,0.00,90.00,103.00,81.00,4.00,
,0.00,90.00,0.00,0.00,90.00,0.00,300.00,
,102.00,159.00,134.00,223.00,214.00,191.00,141.00,
,1.00,1.00,0.00,1.00,0.00,0.00,2.00,
,0.00,6.00,0.00,0.00,6.00,0.00,9.00,
,0.00,0.00,45.00,0.00,0.00,0.00,123.00,
,30.00,14.00,47.00,30.00,60.00,0.00,142.00,
,90.00,0.00,0.00,30.00,60.00,0.00,120.00,
,0.00,0.00,119.00,387.00,235.00,226.00,233.00,
,0.00,0.00,0.00,14.00,200.00,205.00,151.00,
,0.00,0.00,0.00,134.00,277.00,292.00,227.00,
,0.00,0.00,1.00,0.00,0.00,0.00,2.00,
,186.00,303.00,154.00,90.00,175.00,60.00,144.00,
,0.00,30.00,30.00,0.00,30.00,30.00,60.00,
,80.00,150.00,90.00,180.00,150.00,134.00,165.00,
,0.00,21.00,58.00,30.00,30.00,14.00,127.00,
,137.00,97.00,139.00,75.00,60.00,60.00,132.00,
,1.00,1.00,2.00,0.00,1.00,0.00,6.00,
,284.00,320.00,476.00,349.00,341.00,413.00,121.00,
,0.00,28.00,0.00,0.00,0.00,0.00,28.00,
,10.00,0.00,3.00,2.00,1.00,2.00,3.00,
,0.00,0.00,0.00,0.00,2.00,0.00,2.00,
,300.00,260.00,783.00,668.00,786.00,638.00,276.00,
,75.00,0.00,175.00,0.00,0.00,0.00,146.00,
,434.00,384.00,243.00,312.00,291.00,300.00,545.00,
,28.00,28.00,28.00,34.00,28.00,28.00,1.00,
,60.00,60.00,60.00,63.00,60.00,60.00,17.00,
,90.00,10.00,20.00,75.00,105.00,95.00,155.00,
,30.00,140.00,198.00,54.00,180.00,171.00,166.00,
,127.00,40.00,95.00,60.00,104.00,88.00,145.00,
,0.00,0.00,0.00,0.00,0.00,60.00,330.00,
,695.00,780.00,561.00,932.00,768.00,515.00,72.00,
,0.00,0.00,0.00,0.00,0.00,30.00,30.00,
,0.00,0.00,0.00,48.00,352.00,162.00,308.00,
,0.00,0.00,0.00,0.00,0.00,14.00,176.00,
,7.00,196.00,165.00,83.00,120.00,69.00,118.00,
,0.00,30.00,30.00,97.00,118.00,87.00,178.00,
,443.00,312.00,352.00,271.00,493.00,270.00,358.00,
,58.00,29.00,30.00,30.00,30.00,111.00,162.00,
,150.00,60.00,0.00,90.00,0.00,150.00,60.00,
,180.00,0.00,60.00,0.00,44.00,14.00,122.00,
,12.00,54.00,30.00,26.00,24.00,0.00,20.00,
,17.00,12.00,66.00,25.00,35.00,60.00,24.00,
,30.00,60.00,90.00,180.00,30.00,60.00,112.00,
,30.00,28.00,60.00,0.00,30.00,37.00,145.00,
,0.00,0.00,0.00,0.00,0.00,42.00,230.00,
,0.00,126.00,0.00,0.00,180.00,0.00,24.00,
,0.00,0.00,0.00,0.00,0.00,28.00,62.00,
,0.00,0.00,2.00,0.00,1.00,2.00,2.00,
,0.00,120.00,0.00,0.00,0.00,14.00,226.00,
,21.00,37.00,0.00,60.00,0.00,60.00,92.00,
,0.00,0.00,0.00,0.00,0.00,0.00,95.00,
,0.00,0.00,13.00,5.00,0.00,0.00,12.00,
,58.00,107.00,85.00,70.00,75.00,75.00,22.00,
,0.00,2.00,15.00,0.00,0.00,0.00,11.00,
,0.00,0.00,2.00,12.00,12.00,12.00,6.00,
,0.00,0.00,0.00,0.00,60.00,0.00,60.00,
,0.00,0.00,0.00,0.00,7.00,30.00,53.00,
,0.00,0.00,60.00,0.00,60.00,0.00,60.00,
,21.00,0.00,0.00,42.00,60.00,0.00,349.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,30.00,30.00,40.00,28.50,60.00,60.00,73.50,
,30.00,86.00,44.00,240.00,30.00,90.00,170.00,
,0.00,60.00,99.00,67.00,90.00,69.00,159.00,
,0.00,30.00,30.00,0.00,60.00,0.00,330.00,
,254.00,290.00,420.00,243.00,153.00,333.00,227.00,
,0.00,120.00,0.00,120.00,0.00,0.00,120.00,
,164.00,0.00,180.00,0.00,58.00,0.00,388.00,
,0.00,0.00,90.00,0.00,0.00,0.00,90.00,
,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
,30.00,0.00,9.00,0.00,9.00,9.00,89.00,
,0.00,2.00,1.00,2.00,1.00,3.00,1.00,
,0.00,0.00,0.00,0.00,30.00,0.00,70.00,
,0.00,0.00,1.00,0.00,0.00,0.00,2.00,
,141.00,18.00,75.00,0.00,63.00,27.00,356.00,
,572.00,257.00,380.00,256.00,328.00,208.00,147.00,
,37.00,97.00,0.00,7.00,14.00,28.00,63.00,
,28.00,13.00,14.00,25.00,18.00,0.00,29.00,
,0.00,0.00,0.00,0.00,0.00,24.00,16.00,
,18.00,15.00,72.00,33.00,126.00,0.00,108.00,
,123.00,123.00,48.00,18.00,0.00,153.00,255.00,
,0.00,18.00,24.00,0.00,0.00,0.00,0.00,
,0.00,117.00,114.00,36.00,22.00,7.00,72.00,
,0.00,0.00,0.00,0.00,0.00,0.00,90.00,
,800.00,"1,043.00","2,066.00",810.00,644.00,641.00,"1,301.00",
,0.00,0.00,0.00,0.00,0.00,20.00,80.00,
,653.00,759.00,677.00,448.00,364.00,302.00,331.00,
,0.00,7.00,21.00,30.00,30.00,30.00,82.00,
,0.00,0.00,0.00,0.00,0.00,30.00,30.00,
,180.00,130.00,240.00,120.00,60.00,0.00,320.00,
,14.00,14.00,28.00,14.00,0.00,28.00,0.00,
,10.00,19.00,0.00,0.00,0.00,0.00,16.00,
,80.00,0.00,0.00,14.00,14.00,0.00,72.00,
,34.00,22.00,12.00,40.00,6.00,76.00,278.00,
,0.00,0.00,0.00,0.00,0.00,58.00,82.00,
,234.00,156.00,101.00,237.00,0.00,0.00,130.00,
,0.00,6.00,6.00,6.00,0.00,6.00,12.00,
,1.00,1.00,1.00,1.00,0.00,0.00,2.00,
,76.00,66.00,85.00,64.00,70.00,78.00,31.00,
,4.00,3.00,2.00,4.00,3.00,5.00,2.00,
,30.00,30.00,45.00,30.00,60.00,60.00,107.00,
,72.00,87.00,36.00,0.00,63.00,39.00,0.00,
,0.00,6.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,19.00,9.00,34.00,438.00,
,0.00,0.00,0.00,0.00,0.00,0.00,293.00,
,0.00,52.00,62.00,40.00,3.00,0.00,31.00,
,0.00,0.00,0.00,0.00,1.00,0.00,-1.00,
,0.00,0.00,3.00,7.00,0.00,0.00,50.00,
,208.00,60.00,301.00,371.00,309.00,125.00,464.00,
,0.00,0.00,0.00,0.00,1.00,2.00,4.00,
,184.00,238.00,219.00,274.00,313.00,504.00,310.00,
,60.00,84.00,60.00,60.00,60.00,60.00,200.00,
,45.00,97.00,325.00,374.00,27.00,208.00,156.00,
,0.00,0.00,0.00,0.00,3.00,0.00,3.00,
,0.00,0.00,90.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,14.00,0.00,
,60.00,30.00,150.00,0.00,90.00,30.00,90.00,
,0.00,0.00,0.00,0.00,0.00,2.00,2.00,
,84.00,0.00,168.00,0.00,84.00,114.00,116.00,
,0.00,0.00,0.00,0.00,0.00,78.00,90.00,
,168.00,144.00,60.00,60.00,0.00,171.00,61.00,
,0.00,0.00,0.00,0.00,0.00,0.00,30.00,
,209.00,339.00,702.00,660.00,297.00,361.00,83.00,
,0.00,141.00,20.00,15.00,15.00,35.00,47.00,
,30.00,28.00,0.00,0.00,0.00,0.00,56.00,
,0.00,0.00,28.00,28.00,28.00,28.00,28.00,
,14.00,20.00,4.00,20.00,12.00,36.00,28.00,
,4.00,0.00,0.00,0.00,0.00,0.00,8.00,
,0.00,0.00,0.00,0.00,0.00,0.00,110.00,
,15.00,0.00,0.00,0.00,0.00,15.00,50.00,
,3.00,1.00,4.00,2.00,2.00,5.00,3.00,
,60.00,0.00,30.00,30.00,14.00,7.00,165.00,
,60.00,150.00,180.00,210.00,90.00,120.00,0.00,
,481.00,426.00,178.00,411.00,457.00,344.00,564.00,
,0.00,0.00,0.00,0.00,0.00,27.00,27.00,
,0.00,0.00,0.00,0.00,0.00,0.00,404.00,
,0.00,105.00,4.00,3.00,1.00,0.00,2.00,
,30.00,150.00,60.00,0.00,127.00,74.00,200.00,
,0.00,0.00,0.00,0.00,0.00,60.00,60.00,
,1.00,3.00,0.00,1.00,1.00,0.00,1.00,
,88.00,121.50,96.00,157.00,123.00,181.00,468.00,
,9.00,161.00,342.00,102.00,273.00,45.00,241.00,
,36.00,27.00,60.00,24.00,63.00,0.00,31.00,
,0.00,21.00,0.00,0.00,0.00,0.00,39.00,
,0.00,0.00,0.00,0.00,6.00,0.00,14.00,
,0.00,42.00,0.00,0.00,0.00,0.00,64.00,
,0.00,4.00,4.00,12.00,4.00,11.00,9.00,
,0.00,0.00,0.00,0.00,60.00,0.00,60.00,
,10.00,0.00,0.00,0.00,0.00,0.00,90.00,
,0.00,30.00,84.00,90.00,0.00,60.00,60.00,
,153.00,139.00,94.00,237.00,300.00,197.00,151.00,
,0.00,120.00,0.00,0.00,0.00,0.00,280.00,
,10.00,0.00,0.00,0.00,0.00,0.00,33.00,
,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
,8.00,5.00,19.00,11.00,30.00,12.00,20.00,
,0.00,0.00,0.00,0.00,0.00,0.00,39.00,
,10.00,21.00,42.00,64.00,50.00,80.00,166.00,
,42.00,0.00,0.00,0.00,0.00,0.00,58.00,
,0.00,0.00,0.00,0.00,0.00,3.00,52.00,
,0.00,0.00,0.00,0.00,0.00,7.00,83.00,
,0.00,120.00,0.00,0.00,0.00,0.00,0.00,
,180.00,42.00,240.00,14.00,150.00,172.00,312.00,
,0.00,60.00,0.00,60.00,0.00,0.00,320.00,
,0.00,9.00,9.00,0.00,36.00,0.00,113.00,
,402.00,295.00,557.00,359.00,386.00,314.00,84.00,
,1.00,4.00,0.00,6.00,1.00,1.00,5.00,
,37.00,15.00,15.00,15.00,0.00,0.00,62.00,
,0.00,0.00,6.00,0.00,0.00,0.00,-6.00,
,30.00,1.00,0.00,0.00,0.00,0.00,119.00,
,30.00,0.00,0.00,0.00,30.00,0.00,60.00,
,0.00,0.00,0.00,0.00,0.00,0.00,90.00,
,30.00,0.00,0.00,0.00,0.00,0.00,0.00,
